,date,admin1,admin2,market,latitude,longitude,commodity,unit,priceflag,pricetype,currency,price,usdprice
0,#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,1 KG,actual,Wholesale,KES,16.13,0.2235
2,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1480,20.5041
3,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,33.63,0.4659
4,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3246,44.9705
5,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,17,0.2355
6,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes,50 KG,actual,Wholesale,KES,1249.99,17.3175
8,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,39,0.5403
9,15/01/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,21,0.2909
10,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3602
11,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,15.48,0.2145
12,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1399,19.3819
13,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,664.43,9.2052
15,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,22,0.3048
16,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,115,1.5932
17,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,42.31,0.5862
18,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,3175,43.9869
19,15/01/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,30,0.4156
20,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,14.84,0.2055
21,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1320,18.2874
22,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1074.07,14.8803
24,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,39.61,0.5487
25,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4000,55.4165
26,15/01/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,26,0.3602
27,15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,1 KG,actual,Wholesale,KES,12.96,0.1796
